FECHA_AMB;Valor_AMB
16/08/2019 15:00;13.9
16/08/2019 16:00;19
16/08/2019 17:00;22.1
16/08/2019 18:00;19.1
16/08/2019 19:00;18
16/08/2019 20:00;13.9
16/08/2019 21:00;13.7
16/08/2019 22:00;16.7
16/08/2019 23:00;16.8
17/08/2019 0:00;12.4
17/08/2019 1:00;4.7
17/08/2019 2:00;6.4
17/08/2019 3:00;6.8
17/08/2019 4:00;9.3
17/08/2019 5:00;10.2
17/08/2019 6:00;14.2
17/08/2019 7:00;14.4
17/08/2019 8:00;20
17/08/2019 9:00;22.7
17/08/2019 10:00;22.4
17/08/2019 11:00;20.3
17/08/2019 12:00;18.4
17/08/2019 13:00;20.1
17/08/2019 14:00;21.2
17/08/2019 15:00;21.8
17/08/2019 16:00;19.6
17/08/2019 17:00;18.4
17/08/2019 18:00;21.1
17/08/2019 19:00;20.3
17/08/2019 20:00;20
17/08/2019 21:00;21.7
17/08/2019 22:00;26
17/08/2019 23:00;29
18/08/2019 0:00;25.6
18/08/2019 1:00;24.9
18/08/2019 2:00;25.5
18/08/2019 3:00;26.7
18/08/2019 4:00;26.1
18/08/2019 5:00;24.3
18/08/2019 6:00;25.2
18/08/2019 7:00;23.8
18/08/2019 8:00;27.8
18/08/2019 9:00;24.5
18/08/2019 10:00;27.9
18/08/2019 11:00;25.2
18/08/2019 12:00;23.2
18/08/2019 13:00;22.4
18/08/2019 14:00;21.7
18/08/2019 15:00;17.1
18/08/2019 16:00;17
18/08/2019 17:00;19.5
18/08/2019 18:00;9.4
18/08/2019 19:00;14.4
18/08/2019 20:00;14.4
18/08/2019 21:00;13
18/08/2019 22:00;9.4
18/08/2019 23:00;8.6
19/08/2019 0:00;10.4
19/08/2019 1:00;10.6
19/08/2019 2:00;10.1
19/08/2019 3:00;10.2
19/08/2019 4:00;10.9
19/08/2019 5:00;8.5
19/08/2019 6:00;7.1
19/08/2019 7:00;7.8
19/08/2019 8:00;8.6
19/08/2019 9:00;10
19/08/2019 10:00;11.3
19/08/2019 11:00;10.5
19/08/2019 12:00;9.8
19/08/2019 13:00;11.8
19/08/2019 14:00;13.2
19/08/2019 15:00;11.9
19/08/2019 16:00;5.4
19/08/2019 17:00;8.4
19/08/2019 18:00;10
19/08/2019 19:00;7.5
19/08/2019 20:00;11.5
19/08/2019 21:00;10.4
19/08/2019 22:00;10.8
19/08/2019 23:00;9.2
20/08/2019 0:00;8.2
20/08/2019 1:00;8.8
20/08/2019 2:00;6.5
20/08/2019 3:00;8.4
20/08/2019 4:00;9.1
20/08/2019 5:00;8.2
20/08/2019 6:00;10.5
20/08/2019 7:00;17
20/08/2019 8:00;18.1
20/08/2019 9:00;16.1
20/08/2019 10:00;12.6
20/08/2019 11:00;12.2
20/08/2019 12:00;16.9
20/08/2019 13:00;19.5
20/08/2019 14:00;15
20/08/2019 15:00;17
20/08/2019 16:00;19.4
20/08/2019 17:00;21.8
20/08/2019 18:00;26.4
20/08/2019 19:00;30.1
20/08/2019 20:00;23.6
20/08/2019 21:00;27.2
20/08/2019 22:00;25.8
20/08/2019 23:00;21.4
21/08/2019 0:00;17.3
21/08/2019 1:00;17.8
21/08/2019 2:00;13.8
21/08/2019 3:00;14.8
21/08/2019 4:00;14.9
21/08/2019 5:00;18.1
21/08/2019 6:00;21.2
21/08/2019 7:00;17.2
21/08/2019 8:00;13.4
21/08/2019 9:00;11.5
21/08/2019 10:00;10.8
21/08/2019 11:00;9.8
21/08/2019 12:00;11.1
21/08/2019 13:00;12
21/08/2019 14:00;19.9
21/08/2019 15:00;50.2
21/08/2019 16:00;31.8
21/08/2019 17:00;23
21/08/2019 18:00;20.1
21/08/2019 19:00;23.7
21/08/2019 20:00;20.7
21/08/2019 21:00;24.1
21/08/2019 22:00;25.1
21/08/2019 23:00;24
22/08/2019 0:00;25.1
22/08/2019 1:00;25.7
22/08/2019 2:00;21.5
22/08/2019 3:00;15.4
22/08/2019 4:00;16.7
22/08/2019 5:00;19.7
22/08/2019 6:00;24
22/08/2019 7:00;29.1
22/08/2019 8:00;26.5
22/08/2019 9:00;17.2
22/08/2019 10:00;15.7
22/08/2019 11:00;14.7
22/08/2019 12:00;19
22/08/2019 13:00;15.6
22/08/2019 14:00;14.2
22/08/2019 15:00;28.8
22/08/2019 16:00;22.1
22/08/2019 17:00;25.4
22/08/2019 18:00;31.7
22/08/2019 19:00;27.4
22/08/2019 20:00;27.2
22/08/2019 21:00;30
22/08/2019 22:00;32.4
22/08/2019 23:00;30.1
23/08/2019 0:00;25.2
23/08/2019 1:00;24.5
23/08/2019 2:00;24
23/08/2019 3:00;19.4
23/08/2019 4:00;17.3
23/08/2019 5:00;10.5
23/08/2019 6:00;15.9
23/08/2019 7:00;23.1
23/08/2019 8:00;18
23/08/2019 9:00;16.9
23/08/2019 10:00;19.7
23/08/2019 11:00;15.7
23/08/2019 12:00;16.4
23/08/2019 13:00;16.8
23/08/2019 14:00;17.9
23/08/2019 15:00;18.6
23/08/2019 16:00;23
23/08/2019 17:00;17.6
23/08/2019 18:00;9
23/08/2019 19:00;18.9
23/08/2019 20:00;22
23/08/2019 21:00;14.9
23/08/2019 22:00;15.2
23/08/2019 23:00;16
24/08/2019 0:00;15.2
24/08/2019 1:00;13.6
24/08/2019 2:00;13.4
24/08/2019 3:00;16
24/08/2019 4:00;15.4
24/08/2019 5:00;16.8
24/08/2019 6:00;22.2
24/08/2019 7:00;21.7
24/08/2019 8:00;20.1
24/08/2019 9:00;20.2
24/08/2019 10:00;20.4
24/08/2019 11:00;19.4
24/08/2019 12:00;14.7
24/08/2019 13:00;17.6
24/08/2019 14:00;16.1
24/08/2019 15:00;17.5
24/08/2019 16:00;17
24/08/2019 17:00;17.1
24/08/2019 18:00;18.8
24/08/2019 19:00;16.7
24/08/2019 20:00;24.2
24/08/2019 21:00;17.9
24/08/2019 22:00;11.3
24/08/2019 23:00;10.5
25/08/2019 0:00;9.3
25/08/2019 1:00;8
25/08/2019 2:00;9.5
25/08/2019 3:00;7.7
25/08/2019 4:00;8.5
25/08/2019 5:00;7.3
25/08/2019 6:00;8.9
25/08/2019 7:00;10.7
25/08/2019 8:00;10.8
25/08/2019 9:00;9.1
25/08/2019 10:00;7.5
25/08/2019 11:00;6.2
25/08/2019 12:00;8.4
25/08/2019 13:00;9.7
25/08/2019 14:00;11.9
25/08/2019 15:00;12.1
25/08/2019 16:00;12.5
25/08/2019 17:00;10.9
25/08/2019 18:00;10.5
25/08/2019 19:00;10.6
25/08/2019 20:00;10.5
25/08/2019 21:00;11.4
25/08/2019 22:00;13.4
25/08/2019 23:00;10.9
26/08/2019 0:00;9.9
26/08/2019 1:00;11.8
26/08/2019 2:00;11.3
26/08/2019 3:00;10.7
26/08/2019 4:00;11
26/08/2019 5:00;12.3
26/08/2019 6:00;15.3
26/08/2019 7:00;20.7
26/08/2019 8:00;19.2
26/08/2019 9:00;14.8
26/08/2019 10:00;10.8
26/08/2019 11:00;11.6
26/08/2019 12:00;12.5
26/08/2019 13:00;11.1
26/08/2019 14:00;9.5
26/08/2019 15:00;14.3
26/08/2019 16:00;22.4
26/08/2019 17:00;17
26/08/2019 18:00;19.1
26/08/2019 19:00;18.1
26/08/2019 20:00;17.4
26/08/2019 21:00;11.7
26/08/2019 22:00;11.8
26/08/2019 23:00;13.2
27/08/2019 0:00;11.6
27/08/2019 1:00;10.8
27/08/2019 2:00;11.1
27/08/2019 3:00;10.8
27/08/2019 4:00;12.5
27/08/2019 5:00;12.4
27/08/2019 6:00;12
27/08/2019 7:00;17
27/08/2019 8:00;19.2
27/08/2019 9:00;15.7
27/08/2019 10:00;12.2
27/08/2019 11:00;11.8
27/08/2019 12:00;23.7
27/08/2019 13:00;28.3
27/08/2019 14:00;29.8
